MIAC Championships,Luke Iverson,Augsburg,28:22.7,122,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Michael Kreher,Macalester,28:24.0,123,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ian Nystrom,St. Olaf,28:24.2,124,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Preston Tomlinson,Gustavus Adolphus,28:24.9,125,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nathan Hanson,Gustavus Adolphus,28:25.3,126,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Christian Folken,St. Olaf,28:25.7,127,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Daniel Bakken,St. Olaf,28:27.4,128,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Scherling,Carleton,28:27.8,129,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Carl Petri,Macalester,28:28.9,130,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Michael Greenstein,Saint John's,28:32.5,131,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Peter Metzdorff,Saint John's,28:32.8,132,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Max Tusa,Saint John's,28:33.8,133,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Henry Dobbs,Concordia-Moorhead,28:34.4,134,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Patrick Armstrong,Saint John's,28:35.2,135,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Porter Truax,Carleton,28:35.6,136,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Kyle Froeber,Bethel,28:36.1,137,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Cal Knickerbocker,St. Olaf,28:37.1,138,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Long,St. Thomas,28:39.0,139,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Dan Kremer,St. Thomas,28:39.6,140,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Austin Lick,Saint John's,28:41.5,141,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan Olawsky,Carleton,28:41.9,142,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Anderson,Concordia-Moorhead,28:43.7,143,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Sutley,Macalester,28:43.8,144,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Connor Franta,Saint John's,28:44.9,145,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Luke Wittman,Saint John's,28:45.4,146,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Mitchell McNamara,Saint Mary's,28:45.6,147,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,James McLean,Saint John's,28:48.6,148,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Dylan Cheever,Carleton,28:48.9,149,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Fusco,St. Thomas,28:49.4,150,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Gilfix,Macalester,28:49.5,151,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Mark Bostrom,Bethel,28:50.2,152,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Zac Meer,St. Olaf,28:50.3,153,2012,"Como Park Golf Course, St. Paul"
